HILOKONAtotal,Month,Year
199130,1,2017
184505,2,2017
213153,3,2017
183982,4,2017
192349,5,2017
218728,6,2017
238478,7,2017
210341,8,2017
179286,1,2016
178035,2,2016
196248,3,2016
161418,4,2016
171693,5,2016
195376,6,2016
213445,7,2016
189334,8,2016
162322,9,2016
181040,10,2016
172762,11,2016
209339,12,2016
171774,1,2015
168083,2,2015
191403,3,2015
155924,4,2015
169084,5,2015
191286,6,2015
206070,7,2015
186253,8,2015
149067,9,2015
167457,10,2015
162941,11,2015
193445,12,2015
174154,1,2014
166348,2,2014
184878,3,2014
155645,4,2014
158701,5,2014
174121,6,2014
195099,7,2014
176190,8,2014
142781,9,2014
161554,10,2014
158993,11,2014
183255,12,2014
171789,1,2013
166753,2,2013
190113,3,2013
157787,4,2013
163396,5,2013
176827,6,2013
188456,7,2013
180619,8,2013
140648,9,2013
155701,10,2013
153474,11,2013
176273,12,2013
165445,1,2012
161106,2,2012
181731,3,2012
155719,4,2012
159362,5,2012
170802,6,2012
189057,7,2012
180154,8,2012
140007,9,2012
161697,10,2012
163769,11,2012
183201,12,2012
157308,1,2011
153126,2,2011
167782,3,2011
144261,4,2011
153682,5,2011
164010,6,2011
181253,7,2011
164280,8,2011
141860,9,2011
150908,10,2011
149731,11,2011
173141,12,2011
147114,1,2010
143350,2,2010
166029,3,2010
146659,4,2010
146185,5,2010
169462,6,2010
184419,7,2010
171663,8,2010
136844,9,2010
155750,10,2010
148508,11,2010
163799,12,2010
152658,1,2009
153924,2,2009
174899,3,2009
160727,4,2009
161886,5,2009
170531,6,2009
189287,7,2009
172155,8,2009
148158,9,2009
156489,10,2009
146479,11,2009
166719,12,2009
182275,1,2008
184236,2,2008
205842,3,2008
159861,4,2008
164151,5,2008
165053,6,2008
174634,7,2008
167455,8,2008
123892,9,2008
144106,10,2008
138933,11,2008
159642,12,2008
181831,1,2007
175998,2,2007
212918,3,2007
186224,4,2007
184135,5,2007
209873,6,2007
229863,7,2007
213016,8,2007
167822,9,2007
179153,10,2007
185677,11,2007
195486,12,2007
164276,1,2006
158384,2,2006
176872,3,2006
159672,4,2006
165432,5,2006
192874,6,2006
220800,7,2006
206011,8,2006
159888,9,2006
176959,10,2006
178309,11,2006
198760,12,2006
158374,1,2005
154855,2,2005
181393,3,2005
149987,4,2005
161248,5,2005
183784,6,2005
200868,7,2005
180343,8,2005
143235,9,2005
157464,10,2005
158218,11,2005
177825,12,2005
145977,1,2004
144434,2,2004
164573,3,2004
152075,4,2004
149075,5,2004
166837,6,2004
185134,7,2004
175131,8,2004
135134,9,2004
151885,10,2004
147759,11,2004
163349,12,2004
146744,1,2003
143468,2,2003
164303,3,2003
139592,4,2003
138483,5,2003
150962,6,2003
175050,7,2003
172725,8,2003
123540,9,2003
140347,10,2003
140625,11,2003
157156,12,2003
152742,10,2002
147539,11,2002
158244,12,2002
